,num_repeaters,distance,fidelity,sem,rate,mean_retries,num_success
0,1,5,1.0,0.0,127.96560284595502,0.7,10
1,1,10,1.0,0.0,125.64392511622064,0.6,10
2,1,15,1.0,0.0,121.70632264346135,0.9,10
3,3,5,1.0,0.0,124.90710034411906,1.2,10
4,3,10,1.0,0.0,123.49948130217852,0.9,10
5,3,15,1.0,0.0,120.19808644646376,1.0,10
6,5,5,1.0,0.0,124.12389219426151,1.1,10
7,5,10,1.0,0.0,121.24690315201512,1.2,10
8,5,15,1.0,0.0,118.39573775344088,1.3,10
